l4_txn_coredataset.send_bank_ctry_code,l4_txn_coredataset.bene_bank_ctry_code,txn_count
ET,OM,21
HK,BJ,260
ID,MX,419
JO,GG,1
KH,RU,67
KM,MU,118
KN,LU,1
KR,HU,1654
KY,AU,298
LR,MD,3
LV,ID,629
MO,TR,25
MS,PR,38
MW,LR,6
MX,KR,16365
NA,CR,2
NZ,NA,41
PK,BO,3
PL,AO,24
RS,CL,32
RU,AL,30
SE,UZ,74
SG,SZ,2
SL,NZ,14
SV,NULL,9
US,PW,878
ZM,IQ,1
AE,LT,1162
BB,TC,7
BQ,EC,22
ID,MY,30993
IE,LY,1852
IN,CY,1390
JO,GH,168
KW,CV,30
LT,KE,134
LU,JE,2828
LV,IE,4860
MN,US,2789
MW,LS,18
MZ,IS,1
RS,CM,3
RU,AM,4091
VU,SG,91
AD,MU,19
AE,LU,5688
BM,ID,432
BS,CD,3
CF,TR,8
CM,MR,7
CN,LR,193
CO,KR,3332
CR,HR,10
CW,CR,491
CY,AR,396
DE,ZA,10194
DJ,UA,30
DO,PA,11905
ID,MZ,19
IM,NULL,65
IM,DZ,16
IN,CZ,4430
JO,GI,4
JP,FI,2103
KH,RW,2
KW,CW,77
KY,AW,97
MS,PT,2
MV,MT,3
MW,LT,3
MZ,IT,300
NZ,NC,86
RO,GN,3
RS,CN,3872
TR,MK,833
TW,HK,259232
US,PY,36751
VA,CY,1
ZA,US,166917
AE,LV,4878
BF,PE,5
BH,NE,5
BM,IE,84
BO,GE,1
BR,DE,34687
CG,SS,1
CH,RS,7920
CN,LS,9
CY,AS,3
GR,ZM,12
HK,BM,948
JP,FJ,148
LI,VG,10
LK,TG,8
LR,MG,5
LT,KG,10
MV,MU,296
MW,LU,7
NC,AU,297
PE,HR,21
PF,GR,1
PG,FR,1
PK,BR,124
PL,AR,909
QA,QA,89090
RS,CO,7
RU,AO,11
TO,PL,190
TR,ML,180
ZM,IT,403
NULL,EC,2
AD,MW,2
AF,KW,19
AO,BW,13
CG,ST,12
CM,MT,57
CN,LT,559
CR,HT,19
CY,AT,3136
DZ,EC,45
HK,BN,1104
KE,UY,52
KM,MY,11
KW,CY,551
LK,TH,2694
LT,KH,7
MV,MV,2
MW,LV,2
NA,CV,5
NO,YE,13
NZ,NE,20
PH,ES,1885
TR,MM,35
AD,MX,52
BA,UG,10
BH,NG,238
BI,MG,13
CH,RU,40585
CM,MU,349
CN,LU,1482
CR,HU,38
CY,AU,2162
DK,TD,26
ES,PR,1029
FR,VA,2
GB,GA,2779
HK,BO,119
JM,IL,256
JO,GL,2
KE,UZ,2
KW,CZ,414
MO,TW,2214
MV,MW,2
MX,KW,44
PA,LT,30
PE,HT,16
PH,ET,536
PK,BT,2
PL,AT,54993
TL,SN,1
TR,MN,190
TT,KN,52
TV,IN,14
TW,HN,391
NULL,EE,28
AD,MY,7
AE,LY,93
AO,BY,45
BB,TH,47
BF,PH,89
BO,GH,6
BS,CH,7220
BT,BH,1
CN,LV,1893
DO,PE,520
DZ,EE,1
ES,PS,299
GB,GB,13563551
GG,BB,60
JM,IM,9
JO,GM,3
LK,TJ,1
MV,MX,41
NZ,NG,994
PA,LU,501
PE,HU,34
PL,AU,4812
RO,GR,8248
RS,CR,2
RU,AR,2170
SA,ZA,9674
SE,VA,2
SK,PA,31
SN,MA,241
ST,GA,47
SX,CA,372
TM,RO,62
TR,MO,178
AF,KZ,1482
AM,NULL,9
AM,DZ,3
BH,NI,3
BS,CI,1
CH,RW,2588
CM,MW,3
CO,KW,14
CW,CW,48
CY,AW,52
ES,PT,18371
FR,VC,10
GD,EC,1
HK,BQ,5
JM,IN,1220
JO,GN,14
LR,MK,51
MN,UY,1
MV,MY,3257
MX,KY,100
NA,CY,41
PA,LV,86
SO,LB,1
ST,GB,133
TR,MP,2
VN,ZM,26
NULL,EG,1087
CM,MX,16
DJ,UG,60
DK,TG,567
DZ,EG,230
GB,GD,517
GG,BD,8
GH,AD,1
GY,SR,15
HK,BR,11285
ID,NA,35
IE,MA,654161
JP,FO,8
LK,TL,2
LR,ML,28
LV,IL,4179
MN,UZ,1
MO,TZ,10
MU,NZ,1084
MX,KZ,11
NA,CZ,8
NZ,NI,44
PK,BW,6
PL,AW,13
RO,GT,2
RU,AT,26206
SE,VC,103
SG,TC,16
SN,MC,32
SV,EC,506
ZA,UY,314
BF,PK,26
BJ,LK,3
BN,HK,803
BR,DK,2786
CM,MY,138
CN,LY,5
CO,KY,254
CW,CY,122
DK,TH,1688
DO,PH,11
FR,VE,107
GB,GE,35929
GE,DE,3712
GG,BE,72
GH,AE,10972
GW,US,450
HK,BS,912
LK,TM,6
LU,JM,51
LV,IM,238
RU,AU,6879
SG,TD,126
SN,MD,1
SR,ID,37
ST,GD,1
TR,MR,144
TT,KR,298
TW,HR,241
TZ,ER,38
US,QA,15670
ZA,UZ,15
BF,PL,12
BH,NL,1188
BI,ML,35
BM,IL,420
BS,CL,192
CF,TZ,8
CG,SZ,25
CL,NZ,1025
CM,MZ,3
CO,KZ,1
CV,DZ,1
CW,CZ,3
CY,AZ,239
GB,GF,6
GG,BF,19
HK,BT,93
ID,NC,11
IE,MC,17564
IM,EC,348
LI,VN,96
LK,TN,7
LV,IN,2704
PK,BY,104
SE,VE,50
SK,PE,4
SN,ME,1
SR,IE,5
SV,EE,8
SZ,AE,71
TH,WS,7
TJ,US,2206
TM,RS,7
TZ,ES,431
VC,BB,164
BG,OM,8
BM,IM,843
BR,DM,4
BS,CM,4
DK,TJ,10
FR,VG,30
GB,GG,9699
GG,BG,15
GH,AG,1
IE,MD,15651
JO,GR,895
JP,FR,25372
KE,VA,3
KH,SA,60
KY,BA,2
LR,MO,8
LU,JO,242
NZ,NL,4135
PL,AZ,142
RU,AW,23
TR,MT,1320
TW,HT,48
TZ,ET,320
BM,IN,404
BS,CN,744
DO,PK,77
ES,PY,4322
GB,GH,24062
GG,BH,117
GY,SV,24
ID,NE,3
IE,ME,15995
IM,EE,55
IN,DE,67727
IQ,AE,7297
JM,IS,4
KY,BB,346
LU,JP,73636
SE,VG,82
SG,TG,293
SN,MG,18
SV,EG,8
TM,RU,4164
TR,MU,840
TW,HU,1227
XK,CA,49
AE,MA,6895
AO,CA,306
BD,RO,38
BH,NO,287
BR,DO,374
BS,CO,1165
DK,TL,1
DO,PL,102
FR,VI,1
GB,GI,4604
GR,ZW,5
HK,BW,95
JM,IT,168
JO,GT,70
KE,VC,8
KH,SC,1
RS,CY,1053
SG,TH,141453
SK,PH,61
ST,GH,13
SX,CH,26
TR,MV,168
UY,KE,16
VA,DE,31
VC,BE,11
AF,LB,40
BH,NP,135
BL,JP,1
DE,ZM,914
DK,TM,39
GG,BJ,16
ID,NG,826
IE,MG,5495
IM,EG,266
IQ,AG,1
KR,ID,15262
KY,BD,11
KZ,AD,3
LK,TR,624
LR,MR,6
LS,LR,3
LT,KR,214
LY,FR,16
MO,UA,2
MQ,SA,1
MT,PA,174
MV,NA,12
MW,MA,15
MX,LA,23
NZ,NO,697
RS,CZ,4789
RU,AZ,4650
SE,VI,37
TR,MW,35
AE,MC,631
AM,EC,263
DK,TN,207
GA,HK,690
GE,DK,321
GW,UY,3
HK,BY,1294
IE,MH,7
KE,VE,35
KH,SE,36
KR,IE,2672
KW,DE,2531
KY,BE,264
KZ,AE,13608
LS,LS,6
LV,IS,2565
MX,LB,204
NZ,NP,242
SG,TJ,79
TR,MX,967
YE,MR,1
ZA,VA,2
AE,MD,646
AI,ID,1
AO,CD,178
BB,TR,18
BJ,LR,12
BN,HR,1
BO,GR,9
BS,CR,237
CA,ZA,9759
CH,SA,8917
CK,PA,12
CM,NA,1
CN,MA,894
CY,BA,161
DK,TO,1
DM,RO,6
GB,GL,451
GH,AL,78
HK,BZ,31
ID,NI,21
IL,FI,750
KY,BF,1
KZ,AF,376
LK,TT,1
LR,MT,12
LV,IT,421
MW,MC,6
MX,LC,89
SK,PK,123
SN,MK,3
SS,HK,153
TR,MY,4847
TT,KY,200
UY,KH,1
AE,ME,708
AG,KE,9
AI,IE,1
AM,EE,88
BA,US,8624
BD,RS,4
BF,PS,1
BM,IS,12
BQ,ES,44
CH,SB,93
CO,LB,75
CY,BB,133
DK,TP,1
GB,GM,1063
GE,DM,3
GG,BM,142
GH,AM,20
IL,FJ,3
IN,DJ,56
KE,VG,4
KH,SG,6137
KY,BG,33
LI,VU,1
LR,MU,197
PA,MA,36
PK,CA,11535
PL,BA,1227
SG,TL,42
SK,PL,86023
SN,ML,6874
SR,IL,134
TJ,UZ,398
TR,MZ,162
TT,KZ,2
VN,ZW,8
ZA,VC,1
AO,CF,2
BB,TT,532
BF,PT,11
BJ,LT,14
BM,IT,66
BO,GT,11
CH,SC,491
CM,NC,26
CN,MC,69
CO,LC,42
FR,VN,2376
GB,GN,1537
GF,CN,3
GG,BN,2
IE,MK,164143
IN,DK,3719
KG,TH,80
KY,BH,167
MT,PE,24
MW,ME,1
MY,KE,789
MZ,JE,171
NA,DE,111
NC,BE,4
PG,GB,675
PL,BB,138
SA,ZM,441
SG,TM,408
SL,OM,112
SR,IM,23
SZ,AM,1
VC,BJ,4
YE,MU,1
AD,NG,3
AE,MG,597
AM,EG,330
AO,CG,30
BD,RU,411
BI,MU,204
BJ,LU,8
CH,SD,1
CN,MD,252
CR,ID,265
CY,BD,1405
DK,TR,3802
DO,PR,2208
DZ,ER,49
ES,QA,736
ET,PA,6
GE,DO,29
GG,BO,6
GH,AO,84
ID,NL,6227
IE,ML,4947
IQ,AL,2
KE,VI,1
KH,SI,13
LK,TW,4051
LR,MW,57
LT,KW,25
PA,MC,54
SE,VN,6257
SG,TN,415
SR,IN,164
SX,CN,14
VA,DK,1
XK,CH,43
ZA,VE,95
ZM,JE,1830
NULL,ES,480
AO,CH,279
BJ,LV,23
CH,SE,5991
CI,RE,9
CM,NE,4
CN,ME,115
CR,IE,650
CV,EE,1
CW,DE,173
CY,BE,2484
CZ,AE,3246
DJ,US,841
DO,PS,10
DZ,ES,1662
GB,GP,279
IE,MM,2560
IN,DM,6
IQ,AM,191
KG,TJ,69
KW,DJ,129
LR,MX,1
MO,UG,8
MQ,SG,4
MV,NG,33
MW,MG,1
MY,KG,91
PA,MD,2
PE,ID,585
PK,CD,2
PL,BD,1091
RU,BA,392
SG,TO,25
SI,RO,1894
SN,MO,14
SX,CO,57
XK,CI,2
NULL,ET,7
AL,FI,6
AO,CI,96
BB,TW,236
BD,RW,8
BS,CW,407
CK,PF,2
CY,BF,17
CZ,AF,12
DK,TT,112
DO,PT,395
DZ,ET,11
GB,GQ,297
IE,MN,4166
KW,DK,599
LR,MY,354
MT,PH,89
MY,KH,3330
PA,ME,5
PE,IE,718
PG,GE,1
PL,BE,47135
RU,BB,266
YE,MX,1
ZA,VG,44
BI,MX,1
CF,UG,112
CG,TG,30
CH,SG,120491
CM,NG,672
CN,MG,241
CV,EG,16
CY,BG,3721
CZ,AG,2
DM,RU,8
GA,HR,1
GB,GR,547018
GG,BR,44
GH,AR,21
HK,CA,53120
ID,NO,763
IE,MO,54626
IN,DO,132
KH,SL,1
KR,IL,1480
KZ,AL,40
LK,TZ,79
LR,MZ,3
LT,KZ,346
MX,LI,154
PK,CF,1
PL,BF,5
ST,GQ,2
UY,KN,3
YE,MY,155
AE,MK,1272
AF,LK,79
AO,CK,1
BI,MY,24
BS,CY,174
CG,TH,22
CH,SH,1
CK,PH,13
CY,BH,640
ET,PE,1
GD,ES,3
GG,BS,24
ID,NP,120
IE,MP,185
KG,TM,59
KR,IM,304
KW,DM,26
KY,BM,214
KZ,AM,568
NC,BJ,29
PL,BG,8744
RU,BD,1732
SG,TR,8987
SK,PR,1
SN,MR,250
SS,HR,2
ST,GR,6
SX,CR,17
TM,SA,32
TR,NA,145
UZ,JO,5
ZA,VI,1
AD,NL,24
AE,ML,429
BA,UZ,1
BB,TZ,7
BH,NZ,285
BI,MZ,6
BR,NULL,257
BR,DZ,46
BS,CZ,32
CH,SI,2911
CO,LI,69
CY,BI,25
DE,ZW,799
DK,TW,2657
GA,HT,4
GB,GT,6181
GD,ET,2
GG,BT,3
GH,AT,366
IE,MQ,236
KE,VN,427
KH,SN,2
KR,IN,25342
MQ,SK,3
MT,PK,126
MX,LK,507
PG,GH,24
PK,CH,2630
PL,BH,106
RS,DE,3439
RU,BE,11997
SI,RS,4099
SK,PS,9
SV,ES,4338
TT,LB,114
UZ,JP,127
AE,MM,129
AI,IM,21
AO,CM,26
CY,BJ,76
FR,VU,6
GA,HU,1
GB,GU,19
GH,AU,1691
HK,CD,1202
IE,MR,2167
IL,FR,11302
IM,ER,4
IQ,AR,6
JP,GA,152
KN,MO,1
KW,DO,23
KY,BO,3
MT,PL,2545
MV,NL,121
MW,ML,6
NZ,NZ,1523315
PH,FI,637
PK,CI,3
PL,BI,7
RU,BF,3
SG,TT,421
SK,PT,1344
SN,MT,2
SR,IT,5
SS,HT,1
SV,ET,17
SZ,AT,12
TT,LC,301
XK,CN,526
AE,MN,177
AG,KN,2
AI,IN,15
AO,CN,525
CH,SK,6236
CK,PK,3
CN,MK,148
CO,LK,57
CS,HK,2
CW,DK,11
DO,PY,132
ET,PH,3396
IE,MS,1410
IM,ES,335
JP,GB,279430
MU,OM,247
PH,FJ,392
PL,BJ,40
RU,BG,3443
SE,VU,3
SI,RU,341
SN,MU,226
SO,LU,1
SS,HU,30
SZ,AU,3
TW,ID,11543
UY,KR,355
AD,NO,4
AE,MO,657
AO,CO,42
CH,SL,387
CK,PL,6
CM,NL,757
CN,ML,357
CR,IL,365
CZ,AL,174
DK,TZ,3643
GB,GW,219
GG,BW,8
HK,CF,45
IE,MT,270649
IM,ET,61
IQ,AT,139
KR,IQ,336
KY,BQ,2
MN,VN,27
MY,KN,2
PA,MK,3
PF,HK,194
RU,BH,310
SG,TV,1
SN,MV,1
TM,SE,8
TR,NE,186
TW,IE,5716
VC,BS,17
ZM,JM,2
CA,ZM,992
CH,SM,57
CL,OM,8
CN,MM,300
CR,IM,30
CW,DM,7
CY,BM,285
CZ,AM,276
HK,CG,111
IE,MU,47184
IQ,AU,137
JP,GD,1
KG,TR,3097
KH,SR,1
KY,BR,1215
KZ,AR,38
LK,UA,50
LR,NA,10
LS,MA,2
MV,NO,27
MZ,JO,17
PA,ML,1
PE,IL,433
PK,CL,36
PL,BL,130
RU,BI,97
SA,ZW,42
SG,TW,158115
SI,RW,6
SN,MW,15
ST,GW,15
ZA,VN,1097
AE,MQ,3
CG,TN,40
CH,SN,2213
CN,MN,945
CR,IN,1164
CY,BN,126
CZ,AN,3
ET,PK,338
GB,GY,540
GY,TH,16
HK,CH,43396
IE,MV,1598
JM,JE,73
JP,GE,819
KR,IS,349
KY,BS,181
LT,LB,41
LY,GB,405
MV,NP,96
MZ,JP,6565
PA,MM,4
PE,IM,88
PK,CM,5
PL,BM,330
RS,DJ,8
RU,BJ,77
SN,MX,13
TM,SG,103
TR,NG,2965
ZM,JO,15
AE,MR,410
AG,KR,17
AL,FR,71
BD,SA,291
BF,QA,7
BG,PA,336
BI,NA,2
BJ,MA,265
BT,CA,74
CH,SO,2
CI,RO,10
CM,NO,18
CN,MO,4446
CW,DO,752
CY,BO,110
CZ,AO,5
ET,PL,63
GE,NULL,7
GE,DZ,1
GF,CZ,34
GG,BZ,1
GH,AZ,21
HK,CI,653
IE,MW,4438
KR,IT,6050
KZ,AT,3359
PA,MN,1
PE,IN,2070
PF,HN,1
PK,CN,40809
PL,BN,5
RO,HK,13049
RS,DK,187
SK,PY,21
SN,MY,162
SX,CY,46
TL,TH,1
ZM,JP,9547
AM,ES,180
CM,NP,1
CN,MP,1
IE,MX,3763783
JP,GG,99
KE,VU,5
KN,MU,24
KZ,AU,1759
MT,PR,17
MX,LR,1
MY,KR,19566
NC,BR,21
NO,ZA,2727
PA,MO,67
PH,FO,2
PK,CO,52
PL,BO,33
SG,TZ,2333
SN,MZ,29
SX,CZ,8
TM,SI,40
TR,NI,7
TT,LI,45
TZ,FI,220
UY,KW,8
AE,MT,1871
AF,LT,7
AI,IT,2
AM,ET,9
BD,SC,1
BJ,MC,29
BR,EC,1726
CY,BQ,24
HK,CK,30
IE,MY,140518
JP,GH,1295
KH,SV,5
LR,NE,6
LU,KE,530
LV,JE,289
MO,US,10226
MT,PS,40
RU,BM,549
AE,MU,14474
AF,LU,8
BJ,MD,1
BN,ID,317
CG,TR,261
CH,SR,289
CN,MR,241
CY,BR,2871
CZ,AR,71
DK,UA,1321
DM,SA,4
DO,QA,47
HK,CL,4219
ID,NZ,4153
IE,MZ,14156
IN,NULL,1559
IN,DZ,137
IQ,AZ,15
JP,GI,139
KG,TW,114
KY,BW,3
KZ,AW,4
MT,PT,64
MW,MT,4
MX,LT,267
PA,MQ,2
PL,BQ,3
RO,HN,8
RU,BN,32
TT,LK,22
UY,KY,92
VU,TH,11
AE,MV,1544
AF,LV,168
AO,CV,146
BD,SE,125
BE,RE,12
BG,PE,64
BI,NE,10
BJ,ME,2
BM,JE,185
BN,IE,16
BR,EE,148
BS,DE,971
CF,US,1556
CH,SS,135
CI,RS,6
CN,MS,2
CR,IS,1
CV,ES,238
CY,BS,282
HK,CM,496
KN,MX,28
LK,UG,110
LR,NG,1612
LU,KG,4
MR,RU,3
MW,MU,1684
MX,LU,1207
PF,HR,2
PH,FR,3970
PK,CR,13
PL,BR,2002
RE,RO,4
RS,DO,7
RU,BO,59
TL,TL,6
TR,NL,44305
TW,IL,2669
UY,KZ,1
AE,MW,989
AG,KW,1
CH,ST,61
CK,PT,1
CN,MT,206
CO,LT,65
CR,IT,1850
CV,ET,3
CY,BT,7
CZ,AT,42456
GW,VN,4
HK,CN,663138
JO,HK,11949
KN,MY,3
KY,BY,2
LU,KH,54
LY,GH,3
MW,MV,2
MX,LV,258
PA,MS,4
PE,IS,11
PL,BS,277
TW,IM,176
ZA,VU,2
AE,MX,7666
BB,UG,14
BD,SG,8540
BI,NG,171
BJ,MG,9
BR,EG,244
CI,RU,48
CN,MU,2197
CO,LU,1237
CZ,AU,1084
ET,PR,14
FO,ZA,2
GG,CA,274
GH,BA,14
HK,CO,8920
JP,GL,8
KW,NULL,70
KW,DZ,187
KY,BZ,28
KZ,AZ,1724
LR,NI,5
LT,LI,18
MR,RW,3
MW,MW,3276
MY,KW,714
PA,MT,79
PE,IT,1834
PL,BT,18
TJ,VN,13
TL,TN,1
TW,IN,12898
XK,CY,125
AE,MY,36789
AG,KY,20
AO,CY,86
BG,PH,94
BT,CH,9
CH,SV,1926
CN,MV,2405
CO,LV,58
DM,SE,1
GH,BB,33
JM,JM,11866
JP,GM,8
MW,MX,1
PA,MU,315
PF,HU,10
RO,HR,1152
RU,BR,2552
SB,ZA,3
SG,UA,14557
SI,SA,39
SK,QA,14
SL,PA,3
TN,RO,320
TR,NO,1457
XK,CZ,56
AD,NZ,10
AE,MZ,1464
AO,CZ,16
BD,SI,2
CA,ZW,379
CG,TW,19
CI,RW,329
CN,MW,160
CY,BW,50
ET,PT,197
GE,EC,353
JO,HN,8
JP,GN,293
LT,LK,112
MO,UY,32
MT,PY,5
MW,MY,462
MY,KY,81
PA,MV,5
RU,BS,239
TR,NP,79
CH,SX,187
CN,MX,6022
DK,UG,2937
DM,SG,7
ER,RU,10
GA,ID,300
GG,CD,15
GH,BD,218
GY,TR,21
HK,CR,1786
IE,NA,6607
IL,GA,25
IQ,BA,86
JE,RO,1035
JM,JO,28
LR,NL,1244
MV,NZ,247
MW,MZ,1264
MY,KZ,333
NA,NULL,4
PA,MW,3
PL,BW,18
RO,HT,3
RU,BT,30
SN,NC,1
TW,IQ,4
BD,SK,4
BG,PK,169
BO,HK,1327
BS,DK,34
CN,MY,34860
CY,BY,1915
GA,IE,100
GE,EE,522
GH,BE,1926
GI,AE,342
IL,GB,93164
JM,JP,6566
JP,GP,26
LV,JM,20
PA,MX,14929
RE,RU,5
RO,HU,199096
SS,ID,34
SZ,BD,5
TT,LR,10
TZ,FR,1670
VC,CA,143
YE,NL,46
NULL,FI,135
BG,PL,32844
BI,NL,51
BJ,ML,1
CG,TZ,23
CH,SZ,34
CM,NZ,5
CN,MZ,452
CW,NULL,1
CY,BZ,166
CZ,AZ,285
DZ,FI,228
ER,RW,1
GH,BF,495
GY,TT,399
IE,NC,4480
IN,EC,629
JP,GQ,1
LU,KN,5
PA,MY,412
PK,CY,268
PL,BY,13958
SI,SE,169
SL,PE,4
SN,NE,10201
SS,IE,37
SX,DE,34
SZ,BE,27
TK,US,12
TN,RS,63
TW,IS,162
UY,LB,49
BD,SM,1
BH,OM,936
BM,JM,2673
BN,IM,7
GE,EG,247
GH,BG,216
IL,GD,6
IQ,BD,59
JO,HR,78
JP,GR,656
KG,UA,353
KY,CA,3470
KZ,BA,36
LR,NO,39
LV,JO,209
PA,MZ,32
PK,CZ,224
RU,BW,60
TT,LT,4
TW,IT,8623
UY,LC,9
VA,EC,95
BA,VN,9
BD,SN,11
BN,IN,126
BO,HN,18
BT,CN,33
GG,CH,4254
GH,BH,413
HK,CV,50
IE,NE,3709
IL,GE,5605
IN,EE,340
IQ,BE,62
JE,RS,309
KZ,BB,41
LR,NP,11
LV,JP,992
NO,ZM,1208
NZ,OM,69
SG,UG,962
SI,SG,814
SN,NG,641
TN,RU,2230
TT,LU,41
YE,NO,2
AE,NA,581
AF,MA,1
BE,RO,7968
BI,NO,2
BM,JO,35
BS,DO,417
GG,CI,8
GH,BI,32
GY,TW,44
HK,CW,95
IE,NF,22
JP,GT,1024
KW,EC,658
RU,BY,23878
SL,PH,150
TT,LV,7
US,RE,238
UZ,KE,1
VE,AE,10
AG,LB,3
AL,GB,3073
BI,NP,1
BM,JP,520
GH,BJ,511
IE,NG,58961
IL,GG,24
IN,EG,1954
IQ,BG,44
JE,RU,2648
JO,HU,443
JP,GU,180
KY,CD,1
KZ,BD,115
LT,LR,3
LU,KR,3240
LY,GR,4
MK,ZA,6
MR,SA,171
MT,QA,28
MU,PA,494
MW,NA,103
MX,MA,199
MY,LA,638
NC,CA,66
RS,NULL,3
RS,DZ,4
RU,BZ,21
SI,SI,1590
SN,NI,4
SV,FI,57
SZ,BI,1
TL,TW,6
TN,RW,52
AG,LC,5
DJ,VN,12
GB,HK,414715
GG,CK,3
HK,CY,11212
IL,GH,567
IQ,BH,161
KR,JE,315
KW,EE,37
KZ,BE,2444
LI,WS,1
LK,US,47031
MY,LB,752
SV,FJ,6
UZ,KG,86
VA,EG,1
VE,AG,114
AF,MD,2
AR,AD,23
BG,PR,13
BJ,MR,1
BO,HR,2
BT,CR,1
CG,UA,30
CI,SA,89
CL,PA,6941
CN,NA,221
CO,MA,18
CY,CA,6029
CZ,BA,1140
GA,IL,39
GG,CL,32
GY,TZ,1
HK,CZ,3597
IE,NI,6630
IL,GI,43
IM,FI,31
JE,RW,118
JP,GW,44
KZ,BF,1
LT,LT,540
MX,MC,125
MY,LC,2
SI,SK,10654
SL,PK,73
ST,HK,49
VC,CH,118
XK,DE,202
AE,NE,433
AF,ME,1
AI,JE,1
AL,GE,27
AO,DE,79
AR,AE,1701
BB,US,20421
BD,SS,15
BE,RS,1792
BG,PS,17
BR,ES,12696
CU,GB,3
CZ,BB,51
FO,ZM,12
GA,IM,3
GG,CM,17
GH,BM,11
GI,AM,7
IM,FJ,100
KG,UG,1
KH,TG,1
KI,SG,49
KN,NG,46
KW,EG,11144
KZ,BG,1181
LS,MU,85
LT,LU,56
MX,MD,11
PA,NA,11
PH,GA,2
PL,CA,19832
QA,RO,2127
SI,SL,3
SL,PL,24
SN,NL,327
SS,IL,74
TL,TZ,2
TR,NZ,619
UY,LI,67
VU,TW,18
BG,PT,99
BJ,MT,143
BR,ET,21
CH,TC,149
CI,SC,14
CN,NC,5
CO,MC,42
CW,EC,222
GA,IN,2244
GB,HN,6676
GG,CN,35
GH,BN,3
JP,GY,10
KH,TH,5154
KY,CH,1653
KZ,BH,187
LT,LV,508
ML,YE,10
MR,SE,1
MU,PE,232
MX,ME,40
MZ,KE,747
NE,AE,667
PH,GB,46264
SM,OM,1
SR,JM,60
SS,IM,23
ZW,AD,2
NULL,FR,1092
AE,NG,16504
AN,EG,1
BE,RU,18222
BJ,MU,110
BO,HU,3
CH,TD,910
CI,SD,2
CO,MD,4
CY,CD,383
CZ,BD,144
DZ,FR,5812
ER,SA,29
ET,QA,78
GF,DO,2
GG,CO,17
GH,BO,7
IE,NL,874573
IL,GL,23
KY,CI,1
KZ,BI,11
LS,MW,7
LU,KW,77
MU,PF,1
PA,NC,7
SS,IN,893
SY,CN,8
UY,LK,8
VC,CK,1
ZM,KE,4149
ZW,AE,1117
AL,GH,3
BD,SV,2
CI,SE,109
CL,PE,5595
CN,NE,78
CO,ME,2
CR,JE,18
CZ,BE,17836
DK,US,66766
ID,OM,194
IL,GM,5
IQ,BM,4
KZ,BJ,2
MR,SG,350
MU,PG,14
MW,NG,278
MX,MG,4
MZ,KG,1
NA,EG,6
NC,CG,1
PF,ID,8
PL,CD,54
RU,CA,16862
SN,NO,10
SX,DO,400
VC,CL,1
AE,NI,140
AG,LI,14
AM,FI,111
AR,AI,1
BE,RW,1778
BJ,MW,1
CL,PF,10
CY,CF,56
CZ,BF,39
IL,GN,79
IQ,BN,1
KY,CK,1
LK,UY,4
LS,MY,10
LU,KY,1513
MQ,TH,7
MU,PH,2801
MZ,KH,2
NC,CH,12
PE,JE,83
PF,IE,7
PH,GE,393
PK,DE,5932
QA,RS,681
SR,JP,106
ZM,KG,4
